,wind in knots,  speed in knots,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
38,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,7.4,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,7.52,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53
43,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,4.13,0,5.93,0,7.06,0,7.69,0,8.03,0,8.21,0,8.31,0,0,0,8.41,0,0,0,0,8.42,0,0,0,0,8.31
60,0,0,0,4.73,0,6.44,0,7.58,0,8.14,0,8.44,0,8.61,0,8.72,0,0,0,8.85,0,0,0,0,8.92,0,0,0,0,8.93
70,0,0,0,5.1,0,6.69,0,7.85,0,8.35,0,8.67,0,8.85,0,8.98,0,0,0,9.18,0,0,0,0,9.33,0,0,0,0,9.39
75,0,0,0,5.21,0,6.78,0,7.94,0,8.42,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,5.28,0,6.85,0,8,0,8.48,0,8.84,0,9.06,0,9.21,0,0,0,9.52,0,0,0,0,9.8,0,0,0,0,9.88
90,0,0,0,5.28,0,6.92,0,8.06,0,8.56,0,8.96,0,9.23,0,9.4,0,0,0,9.85,0,0,0,0,10.3,0,0,0,0,10.43
110,0,0,0,4.79,0,6.74,0,7.91,0,8.54,0,9.02,0,9.35,0,9.59,0,0,0,10.3,0,0,0,0,11.12,0,0,0,0,11.7
120,0,0,0,4.34,0,6.45,0,7.69,0,8.44,0,8.94,0,9.25,0,9.53,0,0,0,10.33,0,0,0,0,11.3,0,0,0,0,12.38
135,0,0,0,3.56,0,5.79,0,7.13,0,8.06,0,8.61,0,8.92,0,9.28,0,0,0,10.14,0,0,0,0,11.28,0,0,0,0,13.16
140,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,7.25,0,0,0,8.43,0,8.89,0,0,0,9.78,0,0,0,0,10.98,0,0,0,0,13.15
155,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65
164,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0
180,0,0,0,2.22,0,3.37,0,4.48,0,5.55,0,6.53,0,7.38,0,8.01,0,0,0,8.95,0,0,0,0,9.97,0,0,0,0,11.18
